altitude_geometrique_km,altitude_geopotentielle_km,temperature_k,temperature_c,pression_pa,pression_hpa
1.180000000000000071e+01,1.177813636539214670e+01,2.166499999999999773e+02,-5.650000000000000000e+01,2.001863181147750583e+04,2.001863181147750481e+02
1.190000000000000036e+01,1.187776457424521936e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.970659212171656327e+04,1.970659212171656236e+02
1.200000000000000000e+01,1.197738965444797365e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.939942590993288104e+04,1.939942590993288150e+02
1.209999999999999964e+01,1.207701160614778146e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.909705691216987543e+04,1.909705691216987589e+02
1.219999999999999929e+01,1.217663042949200758e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.879941006024260787e+04,1.879941006024260730e+02
1.230000000000000071e+01,1.227624612462800791e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.850641146295228828e+04,1.850641146295228907e+02
1.240000000000000036e+01,1.237585869170312058e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.821798838759646242e+04,1.821798838759646344e+02
1.250000000000000000e+01,1.247546813086468731e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.793406924177017208e+04,1.793406924177017174e+02
1.259999999999999964e+01,1.257507444226003024e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.765458355545363520e+04,1.765458355545363531e+02
1.269999999999999929e+01,1.267467762603646797e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.737946196338180744e+04,1.737946196338180869e+02
1.280000000000000071e+01,1.277427768234130845e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.710863618769139794e+04,1.710863618769139691e+02
1.290000000000000036e+01,1.287387461132184896e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.684203902084104629e+04,1.684203902084104527e+02
1.300000000000000000e+01,1.297346841312537968e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.657960430880025524e+04,1.657960430880025626e+02
1.309999999999999964e+01,1.307305908789918014e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.632126693450287348e+04,1.632126693450287291e+02
1.319999999999999929e+01,1.317264663579052097e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.606696280156099965e+04,1.606696280156099874e+02
1.330000000000000071e+01,1.327223105694666216e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.581662881823513089e+04,1.581662881823513089e+02
1.340000000000000036e+01,1.337181235151485836e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.557020288165657803e+04,1.557020288165657860e+02
1.350000000000000000e+01,1.347139051964235179e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.532762386229811636e+04,1.532762386229811682e+02
1.359999999999999964e+01,1.357096556147637401e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.508883158868901592e+04,1.508883158868901546e+02
1.369999999999999929e+01,1.367053747716415124e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.485376683237054931e+04,1.485376683237055033e+02
1.380000000000000071e+01,1.377010626685289729e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.462237129308819203e+04,1.462237129308819306e+02
1.390000000000000036e+01,1.386967193068982063e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.439458758421682433e+04,1.439458758421682489e+02
1.400000000000000000e+01,1.396923446882211728e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.417035921841522941e+04,1.417035921841522850e+02
1.409999999999999964e+01,1.406879388139697262e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.394963059350625008e+04,1.394963059350625088e+02
1.419999999999999929e+01,1.416835016856156493e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.373234697857912033e+04,1.373234697857911897e+02
1.430000000000000071e+01,1.426790333046306536e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.351845450031037217e+04,1.351845450031037217e+02
1.440000000000000036e+01,1.436745336724863265e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.330790012949996162e+04,1.330790012949996139e+02
1.450000000000000000e+01,1.446700027906541663e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.310063166781919608e+04,1.310063166781919506e+02
1.459999999999999964e+01,1.456654406606055829e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.289659773476705050e+04,1.289659773476705027e+02
1.469999999999999929e+01,1.466608472838119326e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.269574775483173289e+04,1.269574775483173283e+02
1.480000000000000071e+01,1.476562226617443763e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.249803194485412496e+04,1.249803194485412519e+02
1.490000000000000036e+01,1.486515667958741105e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.230340130158998909e+04,1.230340130158998875e+02
1.500000000000000000e+01,1.496468796876721541e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.211180758946781498e+04,1.211180758946781566e+02
1.509999999999999964e+01,1.506421613386094371e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.192320332853917171e+04,1.192320332853917222e+02
1.519999999999999929e+01,1.516374117501568541e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.173754178261857851e+04,1.173754178261857817e+02
1.530000000000000071e+01,1.526326309237851575e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.155477694760990380e+04,1.155477694760990346e+02
1.540000000000000036e+01,1.536278188609650108e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.137486354001631298e+04,1.137486354001631241e+02
1.550000000000000000e+01,1.546229755631670244e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.119775698563092374e+04,1.119775698563092305e+02
1.559999999999999964e+01,1.556181010318616487e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.102341340840530393e+04,1.102341340840530393e+02
1.569999999999999929e+01,1.566131952685192807e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.085178961949298355e+04,1.085178961949298326e+02
1.580000000000000071e+01,1.576082582746102467e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.068284310646525046e+04,1.068284310646525057e+02
1.590000000000000036e+01,1.586032900516047839e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.051653202269654139e+04,1.051653202269654201e+02
1.600000000000000000e+01,1.595982906009729518e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.035281517691668159e+04,1.035281517691668114e+02
1.610000000000000142e+01,1.605932599241848280e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.019165202292742470e+04,1.019165202292742407e+02
1.619999999999999929e+01,1.615881980227103298e+01,2.166499999999999773e+02,-5.650000000000000000e+01,1.003300264948063705e+04,1.003300264948063756e+02
1.630000000000000071e+01,1.625831048980192506e+01,2.166499999999999773e+02,-5.650000000000000000e+01,9.876827770315652742e+03,9.876827770315652799e+01
